0	a
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.	2
The service is good and ambience is good for a date or group outing.	2
The only fallback on this restaurant is the prices.	0
Even though its good seafood, the prices are too high.	2
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.	2
We were very pleasantly surprised.	2
The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.	2
When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.	2
Truly the mark of an attentive waiter.	2
I highly recommend the restaurant based on our experience last night.	2
We ate at this Thai place following the reviews but very unhappy with the foods.	0
We thought that this place is using too much of MSG cooking in the foods.	0
They don't concern much of customer's health, just want to make money.	0
please don't fool us.	0
I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.	2
The food is so cheap and the waiters are nice.	2
Of course, it is crowded but who cares.	1
Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.	2
Have frequented 'ino for several years and the food remains excellent.	2
Cheese plate is a varied delight and great bargain at $10.	2
The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.	2
(The asparagus, truffle oil, parmesan bruschetta is a winner!)	2
Wine list is extensive without being over-priced.	2
Be sure to try the seasonal, and always delicious, specials.	2
Definitely a neighborhood favorite.	2
I loved this place!!	2
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.	2
The food was very good, a great deal, and the place its self was great.	2
The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.	2
I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!	0
The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.	0
The waitress, seems to be more concerned of looking good than actually waitressing.	0
After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.	0
We did tip, I guess the model/waitress just wanted more and complained to the manager.	0
The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.	0
Pizza here is consistently good.	2
Salads are a delicious way to begin the meal.	2
You should pass on the calamari.	0
It is thick and slightly soggy.	0
Decor is charming.	2
Service is average.	1
What a great place.	2
The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.	2
I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.	1
I would definitely recommend SEA if you like thai cuisine!	2
I was here a few weeks back and we had the worst customer service experience at a restaurant ever.	0
A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.	0
When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently 	0
While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.	0
Never again!	0
I absolutely Loved this place.	2
Excellent atmosphere, delicious dishes good and friendly service.	2
this is can became on e of the NY Italian Food fare institutions.	2
I think that it is absolutely brilliant and well runned business operation.	2
The wine list is also really nice.	2
Everything was wonderful; food, drinks, staff, mileau.	2
I would highly recommend this place!	2
I have been to Casimir over 5 times and I have always had a great time there.	2
The food is great and reasonably priced.	2
I have tried to make reservations, but both times, the hostess didn't have my name.	0
If the weather is nice, try to snag an outside table.	2
The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.	2
My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.	2
From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.	2
Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.	2
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.	2
Nice Family owned traditional restaurant.	2
Fresh ingredients and everything is made to order.	2
I was pleasantly surprised to find this gem in Hoboken.	2
Friendly staff that actually lets you enjoy your meal and the company you're with.	2
I found the food to be outstanding, particulary the salmon dish I had.	2
I also ordered the Change Mojito, which was out of this world.	2
My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.	1
We ate out in the back patio, which is worth it as it's cool and the music is hear well there.	2
Overall, excellent restaurant!	2
The food was good.	2
The place was nice and calm.	2
but the service was a bit slow.	0
The buffet had a nice selection.	2
The food was average or above including some surprising tasty dishes.	2
Service was also very good.	2
I would go back.	2
I got an excellent piece of cheesecake and we had several other nice pastries.	2
I would recommend Roxy's for that, but not for their food.	0
My son and his girlfriend both wanted cheeseburgers and they were huge!	1
But, they were too big for the bun.	0
Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.	0
Also they were $15 each!	0
I had a huge pastrami sandwich on a roll.	1
It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!	1
This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.	0
The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.	0
And the Tom Kha soup was pathetic.	0
If you want good authentic Thai this place is not the place to go.	0
We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.	2
The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.	2
Conveniently located too, being right on Bedford ave.	2
THe back garden sitting area is very pleasant, where you can see their personal herb garden.	2
I will definetly be going back.	2
We had the lobster sandwich and it was FANTASTIC.	2
My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.	0
We had the scallops as an appetizer and they were delicious and the sauce was wonderful.	2
We waited at the bar and had martinis that were just right.	2
We will be back.	2
love the food.	2
it's the only place you can get yummy authentic japanese comfort food.	2
and you can't beat the prices.	2
highly recommended.	2
I've lived in NY for 5 years and this place has it all.	2
Great food, good size menu, great service and an unpretensious setting.	2
The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).	2
I'm glad I was introduced to this place and this is a rare gem in NY.	2
The freshest, best variety, and the fastest delivery.	2
Also very inexpensive.	2
A great choice at any cost and a great deal.	2
The service was excellent and the food was delicious.	2
We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.	2
Definitely a great spot for a nice occasion or date.	2
Average to good Thai food, but terrible delivery.	2
I've waited over one hour for food.	0
They were very abrupt with me when I called and actually claimed the food was late because they were out of rice.	0
A Thai restaurant out of rice during dinner?	0
The food arrived 20 minutes after I called, cold and soggy.	0
This is a wonderful place on all stand points especially value ofr money.	2
An excellent service	2
We were greeted promptly by the waiter who was very nice and cordial.	2
She was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about Indian food.	2
The food looked very appetizing and delicious since it came on a variety of fancy plates.	2
We ended our great experience by having Gulab Jamun (dessert) recommended by the waiter.	2
I thanked my friend who recommended me this restaurant and will certainly recommend it to others.	2
Service here was great, food was fantastic.	2
Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.	2
Will absolutely visit again.	2
You cannot go wrong with this place.	2
The food is outstanding and the service is quick, friendly and very professional.	2
Always a nice crowd, but never loud.	2
Go here.	2
Good for dates or with friends.	2
I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.	2
However, it is jus too good to not praise it.	2
By far, the best pizza in Manhattan.	2
The crust is thin, the ingredients are fresh and the staff is friendly.	2
The menu has so many fish items and oysters.	2
The fish was really,really fresh.	2
We all agreed that mare is one of the best seafood restaurants in New York.	2
I stumbled upon this great pizzeria as I explored my new neighborhood.	2
All of the pizzas are terrific and the price is even better!	2
I highly recommend the Sophia pizza.	2
It's to die for!	2
The food was mediocre at best but it was the horrible service that made me vow never to go back.	0
Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.	0
So rushing us out was absolutely unnecessary!	0
For the people who want great food plus great service, Roxy is a place to AVOID!	0
The first time the sushi was outstanding, the second time it was a little bland.	2
I'm sure I'll return for a final judgement tho.	1
The blond wood decor is very soothing, the premium sake is excellent and the service is great.	2
Mizu is the Japenese find in Grammercy.	2
While their kitchen food is delicious, their Sushi is out of this world.	2
Mizu is home to creative and unique rolls not to found anywhere else.	2
Not only is the cuisine the best around, the service has always been attentive and charming.	2
Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!	2
Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.	2
I ordered the smoked salmon and roe appetizer and it was off flavor.	0
The entree was bland and small, dessert was not inspired.	0
I expected quite a bit more from such an expensive menu.	0
The view is spectacular, and the food is great.	2
Wonderful strawberry daiquiries as well!	2
Definitely worth the trip to Battery Park City!	2
One of my favorite places in Manhattan.	2
Authentic Taiwanese food that's cheap... what more could you ask for?	2
(Besides that there should be more restaurants like it around the city).	2
The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.	2
delicious simple food in nice outdoor atmosphere.	2
Kind, attentive wait staff.	2
I really like both the scallops and the mahi mahi (on saffron risotto-yum!).	2
My friend devoured her chicken and mashed potatos.	2
Delicious crab cakes too.	2
Even if the food wasn't this good, the garden is a great place to sit outside and relax.	2
Great neighborhood joint.	2
This is a nice pizza place with good selection of thin crust pizza including the Basil slice.	2
Their calzones are horrific, bad, vomit-inducing, YUCK.	0
They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.	0
The counter service is bad.	0
They charge different prices all the time.	0
They're rude at times, and not very friendly.	0
NO PIZZA 33 for me!	0
Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.	0
The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.	0
The sandwiches are dry, tasteless and way overpriced.	0
Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.	0
Seriously, this place kicks ass.	2
The atmosphere is unheralded, the service impecible, and the food magnificant.	2
Best Italian food I ever had (and being Italian, that means alot).	2
It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.	2
This is such a lovely, peaceful place to eat outside.	2
The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.	2
It is set far from the small street it's on, and there is no traffic noise.	2
The food is good, especially their more basic dishes, and the drinks are delicious.	2
This is a great place to take out-of-towners, and perfect for watching the sunset.	2
Great sushi experience.	2
Nice value.	2
Unique apppetizers.	2
Try sushimi cucumber roll.	2
Good spreads, great beverage selections and bagels really tasty.	2
THE BIG COMPLAINT: NO TOASTING AVAILABLE.	0
Murray won't do it.	0
Won't or Can't is not in the service directory.	0
But who says Murray's is anything about service.	0
So close, but not good enough.	1
Don't be fooled by crowds of people.	0
The service is awful.	0
This place is not worth the prices.	0
Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.	0
Love Pizza 33..	2
I will be out with friends and all of a sudden I am hungry and I only crave one thing... their Pizza.	2
It hits the spot every time	2
This tiny Williamsburg spot is always pleasantly surprising.	2
The pizza is delicious and the proprietor is one of the nicest in NYC.	2
I've been many time and have never been disappointed.	2
They even scoop it out nice (for those on a diet) not too much not to little.	2
The cream cheeses are out of this world and I love that coffee!!	2
A little crowded but they move that line really fast!	2
A little pricey but it really hits the spot on a Sunday morning!	0
Bagels are ok, but be sure not to make any special requests!	1
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!	0
Be sure not to get anything other than bagels!..	0
the turkey burgers are scary!	0
The worst excuse for Japanese food I've ever encountered.	0
The soup for the udon was soy sauce and water.	0
The sushi was awful!	0
The rice was poor quality and was cooked so badly it was hard.	0
Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.	0
The fish was adequate, but inexpertly sliced.	0
It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.	0
Good, fast service.	2
I would highly recommend.	2
Food is great and inexpensive.	2
The location is perfect.	2
Give it a try and enjoy.	2
Well, this place is so Ghetto its not even funny.	0
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.	0
Would NEVER go back there.	0
Awsome Pizza especially the Margheritta slice.	2
Always busy but fast moving.	2
Great atmoshere and worth every bit.	2
Open late (well as late as I ever got there and I'm a night person)	2
Winnie and her staff are the best crew you can find serving you.	2
The food is reliable and the price is moderate.	2
What more can you ask for?	2
For authentic Thai food, look no further than Toons.	2
Try the Pad Thai, or sample anything on the appetizer menu...they're all delicious.	2
Everything about this restaurant was special.	2
The service was attentive, yet discreet.	2
The flavors robust and subtle.	2
The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.	2
I'm saving up for my next visit.	2
The place was quiet and delightful.	2
Service was good and food is wonderful.	2
I did not try the caviar but I tried their salmon and crab salad (they are all good)  	2
It is definitely a good spot for snacks and chat.	2
As a retired hipster, I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city.	2
The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).	2
The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.	2
But the best part about LS is the late night atmosphere, delightfully free of the BTs.	2
You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.	2
The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.	2
You can't go wrong with this place.	2
Suan is a great place that I often take my friends (classmates) too.	2
Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.	2
I LOVE their Thai	2
noodles with shrimp and chicken and coconut juice is the MUST!	2
I will go back to Suan soon!	2
In summer-eat outside on a terrace (another great feature of Suan)!!!	2
I cannot imagine a friendlier staff working in a restaurant.	2
I cannot imagine better Indian food in all of the city.	2
I cannot imagine you not rushing out to eat there.	2
During the course of the past 3 months, the chef and staff changed and it was not for the better.	0
I wish they would change back to what it was before.	0
The food now is inconsistent.	0
This is the kind of place you'd like to take all your friends to and still keep a secret.	2
The setting is casual and romantic.	2
Prices are very good.	2
The food is excellent! 	2
if you're daring, try the balsamic vinegar over icecream, it's wonderful!	2
Do not get the Go Go Hamburgers, no matter what the reviews say.	0
They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.	0
The rest of the dim sum, though pricey by Chinatown standards, is worth it.	0
Steamed fresh so brought hot hot hot to your table.	2
The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.	0
A few tips: skip the turnip cake, roast pork buns and egg custards.	0
These are overpriced and you can get better just around the corner:	0
I was pleasantly suprised.	2
The food was exceptional.	2
I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.	2
The service was friendly and the atmosphere was casual.	2
The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal	2
this little place has a cute interior decor and affordable city prices.	2
the pad se ew chicken was delicious, however the pad thai was far too oily.	2
Have eaten at Ginger House several times, and it's always good.	2
The fried dumplings are GREAT!	2
Finally a reliable Chinese restaurant!	2
This place would be so much better served by being run by a group that actually understands customer service.	0
The only thing you can do here is walk in and eat .. but planning an event, especially a small, intimate one, forget about it.	0
They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place, but also become hostile!	0
Nobody at this restaurant will give firm answers about anything and in the end, not one person takes responsibility for anything.	0
Terrible, terrible management - deserves to be shut-down.	0
Never fails to please.	2
delicious bagels, especially when right out of the oven.	2
Spreads and toppings are great - though a bit pricey.	2
Service is fast and friendly.	2
Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.	0
But that is highly forgivable.	2
Been there, done that, and New York, it's not that big a deal.	1
The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.	0
If celebrities make you sweat, then your in for a ride, but if your like most around these parts then you'll just yawn and wonder whats with all the hype.	0
Rao is a good restaurant, but it's nothing special.	1
But after last night, Spice Grill is the only place I'm eating indian cuisine.	2
You must try the shrimp appetizers.	2
Even my Indian friend couldn't believe how good and tasty everything was.	2
This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.	2
Great food, great prices, great service.	2
If you are looking for a good quality, cheap eats - this is the place.	2
it's a perfect place to have a amanzing indian food.	2
I really loved the different and inovated touch that's the cheff gives to the food.	2
also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!	2
Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.	0
Great bagels made the old-fashioned way.	2
Drawbacks: service is slow and they don't toast!	0
The food was absolutely amazing!!	2
The baked clams octopus we shared as appetizers were the best we've ever had!! 	2
The lamb was tender so full of flavor, the dessert was divine!!	2
The waiter was attentive.	2
The place itself is beautiful the bar scene seems to be happening.	2
Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.	1
Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.	0
Dessert is a joke...dont bother	0
Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.	2
The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.	2
The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.	2
The wine list is extensive and can easily hike up an otherwise reasonably priced meal.	2
Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...	1
Fantastic place.	2
Cute and decorative.	2
A pleasant surprise.	2
Go there to relax and feel like your somewhere else.	2
Lucky Strike is a great casual place to just grab a bite to eat.	2
Great food, great decor, great service.	2
I recommend it!	2
This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!	2
(Always ask the bartender for the SEASONAL beer!!!	2
Guaranteed to be a tasty experience!)	2
Excellent spot for holiday get togethers with co-workers or friends that you haven't seen in a while.	2
I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!	2
All the people that I bring there go back on their own and bring THEIR friends!	2
Go there once and oh yes...you will go back...you will...	2
What a great place!	2
Not the typical NYC gimmick theme restaurant.	2
A cool bar with great food, and tons of excellent beer.	2
And even with it's Pub atmosphere they were great to my kids too!	2
Loved it!	2
The shrimp scampi was excellent and the antipasti were plentiful.	2
It is expensive but well worth the money.	0
If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.	2
The only thing more wonderful than the food (which is exceptional) is the service.	2
The only thing the waiters don't do for you is wipe your chin when you leave.	2
Wonderful at holiday time.	2
Cozy romantic atomosphere with only around 15 tables at most.	2
Service was very prompt but slightly rushed.	2
Food was very good, but not what I would consider out of this world.	1
Go here for a romantic dinner but not for an all out wow dining experience.	2
My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.	2
Too bad the food wasn't of the same heritage.	0
The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.	0
A real dissapointment.	0
But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.	0
They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.	0
Priced at upper intermediate range.	0
I really liked this place.	2
Everything I had was good, and I'm a eater.	2
It was pretty inexpensive too.	2
This place has the best Chinese style BBQ ribs in the city.	2
I also recommend the rice dishes or the different varieties of congee (rice porridge).	2
It's great to go for a quick lunch either alone or with a friend.	2
It's definately not a place to go if you want to impress someone.	0
However, if you want great food at a great price and don't mind the decor, you can't beat this place.	2
Quick and friendly service.	2
This is one of the best comfort food places in the city.	2
It's somewhere you can eat and be happy.	2
When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.	2
The food is wonderful, tasty and filling, and the service is professional and friendly.	2
I can't wait for summer, when they serve outside on their gigantic patio.	2
I recently tried Suan and I thought that it was great.	2
This little place definitely exceeded my expectations and you sure get a lot of food for your money.	2
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.	2
I have to say that I am pleasantly suprised and I will most likely stop in again if I am in the neighborhood.	2
They all know you.	2
Good food.	2
Good drink.	2
How do you rate home?	2
I have never had cheescake like this.	2
I thought I had died and gone to heaven.	2
Great spot, whether looking for a couple of drinks or quiet dinner.	2
Warm and friendly in the winter and terrific outdoor seating in the warmer months.	2
The food is great and they have a good selecion of wines at reasonable prices.	2
Have been several times and it never dissapoints.	2
We were less than impressed.	0
While the ambiance and atmosphere were great, the food and service could have been a lot better.	2
We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.	0
Probably would not go again...	0
i've been to sapphire twice and both times the food was fine, if not good.	2
stick with the chicken, beef, and lamb dishes.	2
service is friendly, and never had a problem walking in and getting a table.	2
skip dessert.	0
Best Reuben sandwich ever!	2
A classic!	2
Don't miss Bloom's on your next trip to Manhatten.	2
It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.	2
Thanks Bloom's for a lovely trip.	2
The food was not fresh, the sauces were bland and very oily.	0
It just wasn't Thai.	0
Was surprisingly disappointed.	0
Pizza was a little soggy.	0
Ravioli was good...but I have to say that I found everything a bit overpriced.	2
Not enough wines by the glass either.	0
Service, however, was excellent...and I liked the setting/atmosphere a lot. 	2
Food was just average...if they lowered the prices just a bit, it would be a bigger draw.	1
This place is a great bargain.	2
Authentic Pakistani food.	2
People are always friendly.	2
Don't waste money on decor.	1
Just straight up cheap, good food.	2
Faan is sooo good.	2
The best pad thai i've ever had.	2
The design and atmosphere is just as good.	2
bottles of wine are cheap and good.	2
What more could you want?	2
The food was actually aweful.	0
I'm not picky - but it was actually gross.	0
The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.	0
Nice atmosphere, the service was very pleasant and the desert was good.	2
Wouldn't recomend it for dinner!	0
This is the perfect date spot for Williamsburg couples.	2
The jukebox plays everything from Italian Opera to The Strokes.	2
The food is amazing, rich pastas and fresh doughy pizza.	2
Best of all is the warm vibe, the owner is super friendly and service is fast.	2
If only they delivered, they'd make a mint!	1
go here for the drinks!	2
the drinks are amazing and half off till 8pm.	2
Ask for Usha, the nicest bartender in manhattan.	2
My fav was the sassy lassi...	2
This is an amazing place to try some roti rolls.	2
I really recommend the very simple Unda (Egg) rolls.	2
Delicate spices, onions, eggs and a kick-ass roti.	2
Amazing!	2
Toons has recently been redone, so it's now a very attractive space.	2
The food's as good as ever.	2
In an area sadly lacking in decent Thai food, this is one of the best spots.	2
Went here last night - nice decor, good service, but the food was surprisingly excellent.	2
The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.	2
Can't wait to go back.	2
Best drumsticks over rice and sour spicy soup in town!	2
Beef noodle soup is good as well.	2
The service is good and the resturant is clean.	2
Best Taiwanese food in NY!	2
I have been to Rao's probably 15 times the past 3 years and it keeps getting better.	2
For those that go once and don't enjoy it, all I can say is that they just don't get it.	2
Rao's has the best service and atmosphere in NYC.	2
Good luck getting a table.	1
My roommate and I LOVE this place.	2
We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.	2
Indoor was very cozy and cute.	2
The portion sizes here are huge, and the sushi is good.	2
Staff is very accomodating.	2
Excellent dumplings served amid clean, chic decor.	2
I got the $10 10-piece dim sum combo, every bite of which was great.	2
But $1 for each small piece???	0
Not worth it.	0
I won't go back unless someone else is footing the bill.	0
The decor is very simple but comfortable.	2
The food was delicious but do not come here on a empty stomach.	2
The portions are small but being that the food was so good makes up for that.	0
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.	2
The staff there is very attentive and down to earth.	2
I loved it and would go again.	2
Great Indian food and the service is incredible.	2
The owner truly caters to all your needs.	2
When family came in he gave them apps to test their palets, and then ordered for them.	2
Everyone was more then happy with his choices.	2
Great food and the prices are very reasonable.	2
The food here does a great service to the name (Cantonese that is...).	2
I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.	2
This dish is my favorite and I always get it when I go there and never get tired of it.	2
Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.	2
Simply some good tasting Chinese food at incredible prices...	2
Service is not what you are coming here for...	0
Big Wong is a great place to eat and fill your stomach.	2
whoever the jazz duo was, they were on POINT.	2
good music, great food, speedy service affordable prices.	2
even the wine by the glass was good.	2
its a little out of the way if you don't live in the neighborhood, but definitely worth the trip from wherever you are.	1
Consistently good Japanese Tapas.	2
Always good drinks and service is pretty good;	2
Atmosphere is nice and relaxed too...	2
A great place to meet up for some food and drinks...  	2
Yakitori (bbq meats) is tasty too.	2
If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.	0
Price and quality of fish alone will keep us from making a return visit.	0
Wasn't going to share but I feel obligated...while sitting at the sushi bar dining we watched the chef accidentally drop a piece of Unagi on the floor and upon retrieving it from the floor proceed to use the piece in the delivery order he was preparing.	0
No thanks!!!	0
This place, which is only a few months old, is perhaps Queens' biggest secret!	2
Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!	2
We were seated outside and the waiter spilled red wine and hot tea on myself and my date.	0
We were then shooed inside.	0
One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.	0
We left, never to return.	0
With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.	0
I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.	0
The food is okay and the prices here are mediocre.	1
Baluchi's has solid food and a nice decor at reasonable prices.	2
The only problem is that the manager is a complete incompetent.	0
He offers subpar service and has no personality.	0
In fact, it appears he is going to go postal at any moment.	0
There is no excuse for such lousy service!	0
I have never before eaten 40 pieces of relatively good nigiri.	1
You can do it here.	2
$20 for all you can eat sushi cannot be beaten.	2
I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.	2
Most of the servers are very attentive, friendly and quite attractive.	2
The vibe is very relaxed and cozy, service was great and the food was excellent!	2
Me and my girls will definitely go back.	2
Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.	2
I would highly recommand requesting a table by the window.	2
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.	2
The food is great.	2
Personal pans are the perfect size for those hungry nights.	2
I heartily recommend.	2
There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.	0
Never have I had such dramatic delivery guys (a lot of huffing and panting and muttering under breath b/c I live in a walkup) who always seem disappointed with their tips.	0
Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.	2
The pizza was pretty good and huge.	2
The price very reasonable.	2
We were 4 and got the family size penne a la vodka which was tremendously gigantic portion...a bucket of food literally.	2
I would say that all was fine and tasty but the heaviness on my stomach someting that i can't not mention or undermine.	0
The pasta penne was pretty extra buttery, creamy which means a big task to diggest.. tasty at first but i would say that i was full with a slice of pizza and 7 to count, penne...got a little moody afterwards cause was stuffed...lol	0
La Rosa waltzes in, and I think they are doing it the best.	2
Interesting selection, good wines, service fine, fun decor.	2
I love it.	2
I plan on stopping by next week as well.	2
I found it on a cold night, the perfect spot to warm up.	2
I recieved prompt service with a smile.	2
To me it exemplifies Soho, cute, artsy, interesting.	2
Definately check it out!!!	2
This place blew me away...by far my new favorite restaurant on the uppereast side.	2
The wine list is extensive and impressive.	2
LOVE the atmosphere - felt like I was in Paris.	2
The mussels were fantastic and so was the dessert...definitely going to be back very soon.	2
I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.	2
Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.	2
